cost,gamma,degree,error
1e-05,1e-06,1,0.505
1e-05,1e-06,2,0.505
1e-05,1e-06,4,0.505
1e-05,1e-06,5,0.505
1e-05,1e-05,1,0.505
1e-05,1e-05,2,0.505
1e-05,1e-05,3,0.505
1e-05,1e-05,4,0.505
1e-05,1e-05,5,0.505
1e-05,0.0001,1,0.505
1e-05,0.0001,2,0.505
1e-05,0.0001,3,0.505
1e-05,0.0001,4,0.505
1e-05,0.0001,5,0.505
1e-05,0.001,1,0.505
1e-05,0.001,2,0.505
1e-05,0.001,3,0.505
1e-05,0.001,4,0.505
1e-05,0.001,5,0.505
1e-05,0.01,1,0.505
1e-05,0.01,2,0.505
1e-05,0.01,3,0.505
1e-05,0.01,4,0.505
1e-05,0.01,5,0.5079687
1e-05,0.1,1,0.505
1e-05,0.1,2,0.5028125
1e-05,0.1,3,0.4892187
1e-05,0.1,4,0.4829688
1e-05,0.1,5,0.4784375
1e-05,1.0,1,0.505
1e-05,1.0,2,0.4704687
1e-05,1.0,3,0.2925
1e-05,1.0,4,0.2934375
1e-05,1.0,5,0.31875
1e-05,10.0,1,0.310625
1e-05,10.0,2,0.3504687
1e-05,10.0,3,0.315
1e-05,10.0,4,0.374375
1e-05,10.0,5,0.3667187
1e-05,100.0,1,0.2721875
1e-05,100.0,3,0.3678125
1e-05,100.0,4,0.374375
1e-05,100.0,5,0.3667187
1e-05,1000.0,1,0.2534375
1e-05,1000.0,2,0.285
1e-05,1000.0,3,0.3664062
1e-05,1000.0,4,0.374375
1e-05,1000.0,5,0.3667187
0.0001,1e-06,1,0.505
0.0001,1e-06,2,0.505
0.0001,1e-06,4,0.505
0.0001,1e-06,5,0.505
0.0001,1e-05,1,0.505
0.0001,1e-05,2,0.505
0.0001,1e-05,3,0.505
0.0001,1e-05,4,0.505
0.0001,1e-05,5,0.505
0.0001,0.0001,1,0.505
0.0001,0.0001,2,0.505
0.0001,0.0001,3,0.505
0.0001,0.0001,4,0.505
0.0001,0.0001,5,0.505
0.0001,0.001,1,0.505
0.0001,0.001,2,0.505
0.0001,0.001,3,0.505
0.0001,0.001,4,0.505
0.0001,0.001,5,0.505
0.0001,0.01,1,0.505
0.0001,0.01,2,0.505
0.0001,0.01,3,0.505
0.0001,0.01,4,0.5009375
0.0001,0.01,5,0.4984375
0.0001,0.1,1,0.505
0.0001,0.1,2,0.493125
0.0001,0.1,3,0.4765625
0.0001,0.1,4,0.4621875
0.0001,0.1,5,0.4721875
0.0001,1.0,1,0.310625
0.0001,1.0,2,0.3660937
0.0001,1.0,3,0.2823438
0.0001,1.0,4,0.3121875
0.0001,1.0,5,0.3526563
0.0001,10.0,1,0.2721875
0.0001,10.0,2,0.3214063
0.0001,10.0,3,0.3421875
0.0001,10.0,4,0.374375
0.0001,10.0,5,0.3667187
0.0001,100.0,1,0.2535938
0.0001,100.0,2,0.2870313
0.0001,100.0,3,0.3692187
0.0001,100.0,4,0.374375
0.0001,100.0,5,0.3667187
0.0001,1000.0,1,0.2546875
0.0001,1000.0,2,0.3214063
0.0001,1000.0,3,0.3664062
0.0001,1000.0,4,0.374375
0.0001,1000.0,5,0.3667187
0.001,1e-06,1,0.505
0.001,1e-06,2,0.505
0.001,1e-06,3,0.505
0.001,1e-06,4,0.505
0.001,1e-06,5,0.505
0.001,1e-05,1,0.505
0.001,1e-05,2,0.505
0.001,1e-05,3,0.505
0.001,1e-05,4,0.505
0.001,1e-05,5,0.505
0.001,0.0001,1,0.505
0.001,0.0001,2,0.505
0.001,0.0001,3,0.505
0.001,0.0001,4,0.505
0.001,0.0001,5,0.505
0.001,0.001,1,0.505
0.001,0.001,2,0.505
0.001,0.001,3,0.505
0.001,0.001,4,0.505
0.001,0.001,5,0.505
0.001,0.01,1,0.505
